title,location,price(L),rate_persqft,area_insqft,building_status
3 BHK Apartment,Kompally,75.69,4500,1682,Ready to move
4 BHK Villa,Patighanpur,974.0,14999,6500,Under Construction
3 BHK Apartment,Tellapur,154.0,7299,2115,Under Construction
3 BHK Apartment,Sainikpuri,70.67,5889,1200,Ready to move
3 BHK Apartment,Chandanagar,149.0,8399,1785,Under Construction
3 BHK Apartment,Chandanagar,134.0,8399,1600,Under Construction
4 BHK Villa,Kollur,433.0,11136,3888,Under Construction
4 BHK Villa,Kollur,496.0,11133,4455,Under Construction
5 BHK Villa,Kollur,569.0,11132,5111,Under Construction
2 BHK Apartment,Bolarum,60.76,4900,1240,Ready to move
3 BHK Apartment,Bolarum,78.41,4900,1601,Ready to move
3 BHK Apartment,Bolarum,68.61,4900,1400,Ready to move
2 BHK Apartment,Bolarum,58.8,4900,1200,Ready to move
3 BHK Apartment,Bolarum,76.93,4900,1570,Ready to move
3 BHK Apartment,Bolarum,77.43,4900,1581,Ready to move
3 BHK Apartment,Bolarum,64.69,4900,1321,Ready to move
2 BHK Apartment,Bolarum,56.36,4900,1150,Ready to move
2 BHK Apartment,Bolarum,57.83,4900,1180,Ready to move
2 BHK Apartment,Bolarum,53.9,4900,1100,Ready to move
2 BHK Apartment,Bolarum,57.34,4900,1170,Ready to move
3 BHK Apartment,Kollur,85.78,5999,1430,Under Construction
3 BHK Apartment,Kollur,106.0,5999,1775,Under Construction
2 BHK Apartment,Kollur,77.68,5999,1295,Under Construction
3 BHK Apartment,Mallampet,79.75,5000,1595,Under Construction
2 BHK Apartment,Mallampet,63.25,5000,1265,Under Construction
2 BHK Apartment,Bachupally,67.76,5600,1210,Under Construction
2 BHK Apartment,Bachupally,66.07,5604,1180,Under Construction
2 BHK Apartment,Bachupally,69.16,5600,1235,Under Construction
3 BHK Apartment,Bachupally,83.43,5603,1490,Under Construction
3 BHK Apartment,Jeedimetla,108.0,5950,1830,Ready to move
3 BHK Apartment,Jeedimetla,108.0,5950,1830,Ready to move
3 BHK Apartment,Jeedimetla,123.0,5950,2080,Ready to move
3 BHK Apartment,Jeedimetla,123.0,5950,2080,Ready to move
3 BHK Apartment,Jeedimetla,148.0,5950,2495,Ready to move
3 BHK Apartment,Jeedimetla,148.0,5950,2495,Ready to move
4 BHK Apartment,Jeedimetla,180.0,5950,3030,Ready to move
4 BHK Apartment,Jeedimetla,180.0,5950,3030,Ready to move
3 BHK Apartment,Jeedimetla,113.0,5950,1915,Ready to move
3 BHK Apartment,Jeedimetla,113.0,5950,1915,Ready to move
3 BHK Apartment,Jeedimetla,154.0,5950,2590,Ready to move
3 BHK Apartment,Jeedimetla,154.0,5950,2590,Ready to move
4 BHK Apartment,Jeedimetla,187.0,5950,3150,Ready to move
4 BHK Apartment,Jeedimetla,187.0,5950,3150,Ready to move
4 BHK Villa,Gagillapur,157.0,7215,2176,Under Construction
4 BHK Villa,Gagillapur,171.0,7193,2377,Under Construction
4 BHK Villa,Gagillapur,190.0,7210,2635,Under Construction
4 BHK Villa,Gagillapur,284.0,7188,3951,Under Construction
4 BHK Villa,Gagillapur,236.0,7188,3283,Under Construction
4 BHK Villa,Gagillapur,329.0,7205,4566,Under Construction
3 BHK Apartment,Manikonda,128.0,7000,1841,Ready to move
2 BHK Apartment,Manikonda,101.0,7000,1449,Ready to move
2 BHK Apartment,Manikonda,92.12,7000,1316,Ready to move
2 BHK Apartment,Manikonda,101.0,7000,1446,Ready to move
2 BHK Apartment,Manikonda,90.72,7000,1296,Ready to move
3 BHK Apartment,Manikonda,135.0,7000,1932,Ready to move
3 BHK Apartment,Manikonda,131.0,7000,1874,Ready to move
3 BHK Apartment,Manikonda,117.0,7000,1676,Ready to move
2 BHK Apartment,Manikonda,108.0,7000,1551,Ready to move
3 BHK Apartment,Manikonda,134.0,7000,1927,Ready to move
3 BHK Apartment,Manikonda,134.0,7000,1926,Ready to move
3 BHK Apartment,Manikonda,121.0,7000,1732,Ready to move
4 BHK Apartment,Jubilee Hills,451.0,13999,3225,Under Construction
2 BHK Apartment,Bachupally,66.35,5604,1185,Ready to move
3 BHK Independent House,Dammaiguda,260.0,8125,3200,Ready to move
3 BHK Independent House,Dammaiguda,260.0,8125,3200,Ready to move
2 BHK Independent House,Boduppal,60.0,5000,1200,Ready to move
3 BHK Independent Floor,Amberpet,70.0,5833,1200,Ready to move
2 BHK Independent House,Boduppal,60.0,5000,1200,Ready to move
2 BHK Apartment,Kukatpally,38.0,5654,672,Ready to move
3 BHK Independent House,Dammaiguda,260.0,8125,3200,Ready to move
2 BHK Independent House,Boduppal,60.0,5000,1200,Ready to move
5 BHK Independent House,Old Bowenpally,200.0,7142,2800,Ready to move
