,price(L)
100,260.0
3217,33.6
3640,58.0
2789,17.5
3196,37.72
1103,506.0
2861,13.56
2700,28.86
2925,16.69
3585,450.0
2550,11.02
2014,43.21
2825,137.0
982,120.0
456,80.0
2883,56.0
2597,36.75
381,120.0
3410,228.0
1587,20.0
2241,65.65
1010,79.62
1907,10.85
3650,600.0
662,66.0
1424,22.0
1552,180.0
3468,8.4
1509,174.0
3618,1.32
2865,15.63
2892,79.0
3186,14.69
845,89.25
542,65.98
1874,22.5
2337,55.18
1948,16.55
1196,36.67
1102,106.0
2456,70.0
1483,158.0
2912,133.0
1727,59.0
2279,122.0
3425,125.0
1048,77.41
3357,125.0
1414,76.35
2464,20.12
2778,45.0
237,98.5
2725,17.11
2964,10.0
1133,74.92
2387,13.64
3004,160.0
163,70.0
1967,15.54
252,77.48
2430,16.9
2610,16.69
2269,84.3
930,128.0
2092,128.0
1429,22.0
1788,14.56
2669,21.09
1606,38.0
2028,14.52
2025,14.52
1090,98.12
2917,76.85
2840,51.5
1181,106.0
593,92.45
677,179.0
41,149.0
3141,35.75
2486,32.0
3042,1650.0
1637,53.28
243,94.0
1124,92.8
2189,769.0
2147,54.05
3264,28.38
261,85.8
1340,30.79
2053,12.58
2440,80.0
834,1014.0
3085,69.0
1402,112.0
2758,20.25
1351,55.0
340,79.99
1578,52.41
748,137.0
2159,30.8
480,78.2
1450,21.0
2010,28.8
3149,13.99
783,21.99
3557,262.0
3463,53.44
2396,23.39
2933,39.96
1811,12.63
2287,78.56
2011,84.6
3456,60.0
2409,49.69
2587,27.99
3266,28.38
1271,886.0
3222,26.7
1127,233.0
626,147.0
347,36.59
2351,53.4
2334,92.6
1818,12.36
979,153.0
3147,22.05
3652,265.0
911,26.0
2289,76.65
632,22.5
3531,14.71
445,53.9
617,66.28
1825,7.5
3078,54.05
3291,19.21
2678,14.63
1862,13.22
3105,57.48
1452,36.74
3464,28.0
2480,32.0
353,66.34
1232,69.72
613,96.88
1395,83.98
1620,129.0
2148,160.0
1995,14.62
2316,136.0
3438,525.0
57,85.78
2583,43.81
2615,18.59
2676,15.91
1253,150.0
3166,15.6
2297,225.0
2138,71.3
1849,25.99
2579,12.7
3230,23.0
2973,30.06
560,21.96
707,339.0
3156,13.5
424,16.02
1093,106.0
647,63.0
72,180.0
3335,18.37
1800,13.84
1454,700.0
1005,603.0
620,67.07
1391,77.68
2419,25.0
553,65.0
2501,84.99
3462,64.0
3246,10.85
2067,41.2
2340,17.99
998,77.38
3606,28.0
1423,22.0
1779,135.0
3347,13.1
1902,153.0
3639,190.0
2126,56.24
3192,17.38
440,215.0
508,29.46
1100,33.99
589,100.0
3358,180.0
649,63.0
3334,20.87
3054,57.48
3527,26.46
1764,6.56
3346,18.5
660,85.0
630,92.49
1872,62.0
1249,103.0
3465,25.0
482,161.0
2619,22.18
3259,28.38
3348,17.3
2543,27.3
3597,115.0
2179,127.0
856,98.26
1225,23.3
1190,130.0
1953,16.46
530,98.25
2488,75.0
49,58.8
1513,24.7
858,137.0
2677,15.19
1072,91.46
719,111.0
2346,13.52
1910,14.62
2740,65.0
2755,45.0
2117,230.0
2641,45.0
1921,400.0
2718,280.0
1577,74.23
1916,13.48
3294,18.9
2512,31.07
1850,13.96
1487,161.0
1503,19.0
2609,27.75
1385,90.77
1399,46.58
1195,975.0
3445,3.5
3212,40.0
3201,85.44
2129,45.0
297,36.99
2144,56.95
1264,182.0
1784,14.9
958,147.0
2495,32.0
3616,15.6
1983,17.93
2392,15.59
1374,39.99
1286,77.7
349,66.59
1368,325.0
2958,45.0
643,89.75
3069,160.0
1718,60.0
669,235.0
3317,27.99
1936,63.23
2992,53.48
1747,21.23
1179,93.06
2283,76.53
1592,14.5
2887,89.0
2069,21.34
2172,168.0
1357,87.84
786,15.39
3281,18.37
140,42.37
788,17.59
323,48.0
2475,12.5
714,109.0
1962,18.39
2762,8.85
3378,95.0
1749,12.05
3080,81.0
1608,140.0
618,160.0
406,65.63
1731,69.0
1886,240.0
2379,31.07
2358,25.49
2216,54.24
497,171.0
2063,29.61
342,39.99
2370,21.84
2761,8.95
782,21.99
1323,25.0
2827,150.0
1653,45.0
303,17.98
3155,21.09
3327,20.52
664,238.0
1177,88.04
1244,107.0
2233,55.0
2110,55.2
2764,8.42
3263,39.96
2381,27.0
84,236.0
2698,13.19
941,84.0
961,63.58
841,113.0
1993,18.39
2890,48.0
1729,58.0
2131,85.09
1891,95.0
290,36.3
2273,84.53
2519,26.28
1665,26.24
3064,160.0
3310,36.15
604,293.0
2483,16.0
916,51.0
3138,13.19
3034,54.05
1099,111.0
1088,108.0
2561,31.36
1927,43.85
821,2531.0
3365,30.0
3454,25.0
3103,57.48
3000,54.05
1302,26.4
1000,76.7
2005,43.2
2078,18.45
1477,110.0
18,81.25
493,161.0
1125,73.6
1404,103.0
2481,32.0
1904,13.72
2244,52.32
2221,130.0
1864,27.99
584,85.87
2607,60.0
687,408.0
2246,53.28
1642,82.98
2458,64.05
2527,28.0
1009,80.86
2937,41.06
360,246.0
3111,574.0
3338,25.99
2344,36.0
1310,1400.0
1801,14.68
3043,309.0
1866,51.77
3324,8.0
344,33.39
986,103.0
1882,36.0
743,85.66
1980,18.39
2013,23.44
1702,78.63
113,60.0
1437,123.0
1623,95.46
1241,71.12
1142,1400.0
2208,59.9
1216,270.0
1198,31.71
85,329.0
3610,17.47
2515,34.15
1381,126.0
2284,68.53
668,127.0
1014,115.0
128,47.0
1364,118.0
2886,3600.0
1717,95.63
891,311.0
2356,37.49
1359,97.2
307,69.0
383,9.0
150,42.37
1317,54.0
1451,14.03
1691,40.4
3520,21.33
426,14.85
494,225.0
1207,200.0
2639,23.4
2266,89.6
1208,150.0
2787,9.1
2953,55.86
3113,57.48
2514,34.15
1239,120.0
1869,58.56
1938,225.0
275,97.5
489,116.0
3359,55.0
1229,79.98
690,45.48
1963,18.03
2437,18.0
2712,480.0
3079,55.18
2689,19.43
2535,18.33
1058,180.0
118,70.0
1024,85.99
2384,18.89
281,489.0
3251,19.84
1316,72.0
3137,14.39
968,132.0
2752,26.7
1767,13.86
2114,53.95
619,105.0
3415,150.0
155,586.0
3566,27.25
1655,75.62
2256,65.85
304,18.15
2374,37.37
3285,31.71
2034,9.55
3655,60.0
2726,18.29
1307,129.0
2043,12.85
575,73.0
3306,35.86
3130,22.8
3194,15.67
1299,93.0
132,235.0
1971,14.62
2930,25.05
1770,120.0
843,112.0
1949,15.45
1877,33.3
269,50.82
629,184.0
1033,85.51
2119,66.55
286,28.8
1326,140.0
2696,14.23
300,37.8
2736,15.67
1447,36.5
1472,77.0
2594,21.59
3022,160.0
1965,16.09
65,83.43
2979,12.5
890,61.0
3593,65.0
3216,23.1
2304,76.78
1826,55.2
230,12.34
503,17.89
1813,13.51
2530,14.92
3536,13.79
1525,85.79
2102,76.8
1839,76.78
1004,76.05
836,321.0
2177,135.0
374,32.07
2402,34.44
2575,14.93
2702,18.33
939,108.0
1321,36.8
2564,38.0
2526,48.0
751,173.0
99,66.35
1543,28.0
2299,320.0
866,18.0
910,50.0
2178,127.0
1575,640.0
529,161.0
1260,28.0
2412,2.5
2245,55.63
636,154.0
1269,72.0
185,40.5
3238,20.87
1778,123.0
2328,55.18
931,90.28
1441,75.0
2234,55.0
2793,38.41
1535,123.0
865,12.0
2918,109.0
1273,185.0
2934,20.04
2130,68.31
607,237.0
3001,54.05
1712,65.84
2582,34.15
151,42.37
1918,83.97
3591,918.0
3368,48.75
2341,20.52
731,126.0
2008,36.0
3248,10.85
3325,12.0
23,82.65
3068,160.0
158,47.33
1748,25.33
861,150.0
2704,17.1
902,130.0
352,80.62
1230,84.21
2748,69.01
444,118.0
3581,150.0
754,93.35
1737,61.0
923,74.98
1666,21.52
3622,26.99
2566,19.11
311,65.0
1375,39.99
548,55.0
3404,270.0
1746,13.52
2111,55.2
2864,18.75
306,96.2
287,26.28
694,85.0
308,65.0
3500,189.0
1756,16.38
2819,84.0
2323,55.18
749,110.0
1590,14.5
1170,50.72
1925,21.56
1266,304.0
1894,18.9
2509,27.99
908,25.25
1960,17.93
86,128.0
2894,130.0
2576,31.2
3030,160.0
970,63.74
13,134.0
873,42.0
1723,59.0
808,374.0
3136,13.99
514,30.29
3159,15.91
409,58.78
2171,136.0
1337,24.0
1413,55.2
